,,,,,,
========== НЕДЕЛЯ 50 (08.12–14.12.2025) ==========,,,,,,
Период: Базовый | Тип: Стандартная нагрузка,,,,,,
Цели: Развитие Z2-базы + укрепление ног + специфика подъёмов,,,,,,
Состав: 3 беговые (Z2 + горы + длительная) + 2 силовые/кроссфит,,,,,,
Объём бега: ~35 км | Набор: ~500 м,,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 08.12,🛋️ Отдых,Восстановление,—,Полный отдых или лёгкая растяжка 10–15 мин,—,Восстановление
вт 09.12,🏃 Бег + 💪 Силовая,Z2-база + ноги,75–85,Бег 50 мин Z2 (8 км) → Силовая на ноги 25–30 мин,Z2 (145–158),Аэробная база + укрепление ног
ср 10.12,🏋️ Кроссфит,Метаболическая выносливость,50–60,Разминка → AMRAP 20 мин → Гребля интервалы → Кор,Z3–Z4 (158–177),Функциональная выносливость
чт 11.12,🛋️ Отдых,Восстановление,—,Полный отдых. Возможна лёгкая прогулка 20–30 мин,—,Восстановление
пт 12.12,🏔️ Бег в гору + 🧘 Кор,Специфика подъёма,60–70,Бег на дорожке с уклоном 45 мин (6 км) → Кор 15–20 мин,Z2–Z3 (145–171),Сила на подъёме + стабилизация
сб 13.12,💪 Силовая + 🏋️ Кроссфит,Сила + кондиция,55–65,Силовая верх 30 мин → Кроссфит-комплекс 25 мин,Z3 (158–171),Общая сила + выносливость
вс 14.12,🏃 Длительный бег,Z2-база,100–120,Длительный бег 15–16 км в ровном темпе Z2,Z2 (145–158),Аэробная выносливость
,,,,,,
,,,,,,
========== НЕДЕЛЯ 51 (15.12–21.12.2025) ==========,,,,,,
Период: Базовый | Тип: Восстановительная неделя,,,,,,
Цели: Снижение кардионагрузки после перетренированности (показатель 1.5) + поддержание базы,,,,,,
Состав: 3 беговые (лёгкий Z1–Z2 + горы умеренно + длительная сокращённая) + 2 силовые,,,,,,
Объём бега: ~30 км (снижен) | Интенсивность: -15–20%,,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 15.12,🛋️ Отдых,Восстановление,—,Полный отдых после длительного в воскресенье,—,Восстановление после 17 км
вт 16.12,🏃 Лёгкий бег + 💪 Силовая,Z1–Z2 + ноги,60–70,Бег 35–40 мин Z1–Z2 (6 км) → Силовая ноги 25 мин (сниженный объём),Z1–Z2 (133–155),Восстановительный бег + поддержание силы
ср 17.12,🏋️ Кроссфит,Лёгкий метаболический,40–50,Разминка → AMRAP 15 мин (облегчённый) → Кор 10 мин,Z2–Z3 (145–165),Поддержание формы без перегрузки
чт 18.12,🛋️ Отдых,Восстановление,—,Полный отдых. Растяжка или мобильность 15 мин,—,Восстановление
пт 19.12,🏔️ Бег в гору + 🧘 Кор,Специфика подъёма,55–65,Бег с уклоном 40 мин (5–6 км) → Кор 15 мин,Z2 (145–158),Специфическая сила (умеренно)
сб 20.12,💪 Силовая верх + Кор,Сила верха тела,45–55,Силовая верхняя часть 35 мин → Кор-блок 15 мин,Z2–Z3 (145–165),Компенсация пропущенной субботы + баланс
вс 21.12,🏃 Длительный бег,Z2-база,80–100,Длительный бег 12–14 км в ровном темпе Z2,Z2 (145–158),Аэробная выносливость (восстановительный объём)
,,,,,,
,,,,,,
========== НЕДЕЛЯ 52 (22.12–28.12.2025) ==========,,,,,,
Период: Базовый | Тип: Стандартная нагрузка (возврат после восстановления),,,,,,
Цели: Наращивание объёма к январю + силовая выносливость для подъёмов + вариативные кроссфит-комплексы,,,,,,
Состав: 3 беговые (Z2 + горы с акцентом на силу + длительная) + 2 кроссфит/силовые (с разнообразным инвентарём),,,,,,
Объём бега: ~38 км | Набор: ~500–600 м,,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 22.12,🛋️ Отдых,Восстановление,—,Полный отдых после длительного в воскресенье,—,Восстановление
вт 23.12,🏃 Бег Z2 + 💪 Силовая ноги,Аэробная база + сила ног,75–85,Бег 45 мин Z2 (7–8 км) → Силовая ноги 30 мин (акцент на выпады и приседания),Z2 (145–158),Аэробная база + укрепление ног для подъёмов
ср 24.12,🏋️ Кроссфит,Силовая выносливость,55–65,Разминка → Комплекс с медболом и мешком → Лыжный тренажёр интервалы → Кор,Z3 (158–171),Силовая выносливость + разнообразие
чт 25.12,🛋️ Отдых,Восстановление,—,Рождество. Полный отдых или лёгкая прогулка,—,Восстановление
пт 26.12,🏔️ Бег в гору + Лестница,Специфика подъёма,65–75,Бег с уклоном 35 мин → Бесконечная лестница 15 мин → Кор 15 мин,Z2–Z3 (145–171),Сила и выносливость на подъёме
сб 27.12,🏋️ Кроссфит + Байк,Метаболическая + сила,60–70,Разминка → Комплекс со штангой → Assault bike интервалы → Гребля заминка,Z3–Z4 (158–177),Функциональная сила + кардио
вс 28.12,🏃 Длительный бег,Z2-база,100–120,Длительный бег 16–18 км в ровном темпе Z2 (подготовка к январским объёмам),Z2 (145–158),Аэробная выносливость
,,,,,,
,,,,,,
========== НЕДЕЛЯ 1 (29.12.2025–04.01.2026) ==========,,,,,,
Период: Базовый | Тип: Переходная неделя (декабрь → январь),,,,,,
Цели: Компенсация пропущенного длительного + переход к январским объёмам + больше бесконечной лестницы,,,,,,
Состав: 3 беговые (Z2 + горы с лестницей + длительная 18–20 км) + 1 кроссфит (новогодняя неделя),,,,,,
Объём бега: ~40 км | Набор: ~600 м,,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 29.12,🛋️ Отдых,Восстановление,—,Полный отдых после интенсивной субботы,—,Восстановление
вт 30.12,🏃 Бег Z2 + 💪 Силовая ноги,Аэробная база + сила,75–85,Бег 45–50 мин Z2 (8 км) → Силовая ноги 30 мин,Z2 (145–158),Аэробная база + укрепление ног
ср 31.12,🏃 Лёгкий бег,Активное восстановление,40–50,Лёгкий бег 35–40 мин Z1–Z2 (5–6 км). Короткая тренировка перед Новым годом,Z1–Z2 (133–155),Поддержание без перегрузки
чт 01.01,🛋️ Отдых,Новый год 🎉,—,Полный отдых. С Новым годом!,—,Праздник и восстановление
пт 02.01,🏔️ Бег в гору + 🪜 Лестница,Специфика подъёма,70–80,Бег с уклоном 35 мин → Бесконечная лестница 20 мин → Кор 15 мин,Z2–Z3 (145–171),Сила на подъёме (увеличен объём лестницы)
сб 03.01,🏋️ Кроссфит + Силовая,Функциональная сила,55–65,Кроссфит-комплекс 30 мин → Силовая верх 25 мин,Z3 (158–171),Сила + выносливость
вс 04.01,🏃 Длительный бег,Z2-база,110–130,Длительный бег 18–20 км в Z2 (компенсация + подготовка к январю),Z2 (145–158),Аэробная выносливость (увеличенный объём)
,,,,,,
,,,,,,
========== ОТПУСК (05.01–27.01.2026) ==========,,,,,,
3+ недели без тренировок. Выносливость снизилась с 62 до 16.,,,,,,
,,,,,,
,,,,,,
========== НЕДЕЛЯ 5 (26.01–01.02.2026) ==========,,,,,,
Период: Втягивание | Тип: Адаптационная неделя после 3-недельной паузы,,,,,,
Цели: Плавный возврат к тренировкам. Низкая интенсивность. Не форсировать!,,,,,,
Состав: 2 беговые (лёгкий бег + умеренный длительный) + 1 кроссфит (облегчённый). Начало со среды 28.01.,,,,,,
Объём бега: ~15–18 км | Интенсивность: Z1–Z2 (низкая),,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 26.01,—,Нет возможности,—,Ещё в отъезде,—,—
вт 27.01,—,Нет возможности,—,Ещё в отъезде,—,—
ср 28.01,🏃 Лёгкий бег,Первая тренировка!,35–45,Лёгкий бег 30–35 мин Z1–Z2 (4–5 км). Очень комфортный темп. Не форсировать!,Z1–Z2 (130–150),Мягкое возвращение к бегу
чт 29.01,🛋️ Отдых,Восстановление,—,Полный отдых. Оценка самочувствия после первой тренировки,—,Восстановление
пт 30.01,🏃 Бег + 💪 Силовая,Z1–Z2 + лёгкая сила,50–60,Бег 30 мин Z1–Z2 (4–5 км) → Лёгкая силовая 20 мин (сниженные веса на 30%),Z1–Z2 (130–150),Поддержание + адаптация мышц
сб 31.01,🏋️ Кроссфит,Лёгкий функциональный,35–45,Облегчённый кроссфит-комплекс. Низкая интенсивность. Акцент на технику,Z2 (140–155),Функциональная подготовка (мягко)
вс 01.02,🏃 Умеренный длительный,Z2-база,55–70,Длительный бег 8–10 км в лёгком темпе Z2. Не быстрее 7:00/км!,Z2 (140–155),Восстановление аэробной базы
,,,,,,
,,,,,,
========== НЕДЕЛЯ 6 (02.02–08.02.2026) ==========,,,,,,
Период: Втягивание | Тип: Адаптация (продолжение),,,,,,
Цели: Плавное увеличение объёма (+50% к неделе 5). Добавляем бег в гору. Интенсивность по-прежнему умеренная.,,,,,,
Состав: 3 беговые (Z2 + горы + длительная 12 км) + 2 силовые/кроссфит,,,,,,
Объём бега: ~25–28 км | Интенсивность: Z1–Z2,,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 02.02,🛋️ Отдых,Восстановление,—,Полный отдых после воскресного бега,—,Восстановление
вт 03.02,🏃 Бег Z2 + 💪 Силовая,Аэробная база + ноги,70–80,Бег 40–45 мин Z2 (6–7 км) → Силовая ноги 25 мин,Z2 (140–155),Аэробная база + укрепление ног
ср 04.02,🏋️ Кроссфит,Функциональная выносливость,45–55,Разминка → AMRAP 15 мин (умеренный) → Гребля 10 мин → Кор,Z2–Z3 (145–165),Метаболическая подготовка
чт 05.02,🛋️ Отдых,Восстановление,—,Полный отдых. Возможна лёгкая растяжка 10–15 мин,—,Восстановление
пт 06.02,🏔️ Бег в гору + 🧘 Кор,Специфика подъёма (первая!),55–65,Бег с уклоном 35 мин (5–6 км) → Кор 15 мин. Уклон 5–8%!,Z2 (140–158),Возвращение к горному бегу (мягко)
сб 07.02,💪 Силовая + 🏋️ Кроссфит,Сила + кондиция,50–60,Силовая верх 25 мин → Кроссфит-комплекс 20 мин,Z2–Z3 (145–165),Общая сила + выносливость
вс 08.02,🏃 Длительный бег,Z2-база,70–85,Длительный бег 11–13 км в ровном темпе Z2. Темп 6:30–7:00/км,Z2 (140–155),Аэробная выносливость (прогрессия)
,,,,,,
,,,,,,
========== БОЛЕЗНЬ (~04.02–08.02.2026) ==========,,,,,,
Прерванная адаптация. Выносливость 13. Статус: детренированность.,,,,,,
,,,,,,
